,job_id,skill_abr
680,3700553155,IT
681,3700553388,MGMT
682,3700553388,MNFC
683,3700553462,HCPR
684,3700553769,RSCH
685,3700553769,ANLS
686,3700553769,IT
687,3700553790,MGMT
688,3700553790,MNFC
689,3700553847,SALE
690,3700553874,SALE
691,3700553886,OTHR
692,3700554332,SALE
693,3700554332,BD
694,3700554333,SALE
695,3700554333,BD
696,3700554546,RSCH
697,3700554546,ANLS
698,3700554546,IT
699,3700554569,MGMT
700,3700554569,MNFC
701,3700554570,MGMT
702,3700554570,MNFC
703,3700554594,ENG
704,3700554594,IT
705,3700554617,SALE
706,3700554640,ENG
707,3700554640,IT
708,3700555134,MGMT
709,3700555134,MNFC
710,3700555149,ACCT
711,3700555149,FIN
712,3700555206,IT
713,3700555490,SALE
714,3700555490,BD
715,3700555493,SALE
716,3700555493,BD
717,3700555525,ENG
718,3700555525,IT
719,3700555600,SALE
720,3700555649,ENG
721,3700555649,IT
722,3700555673,SALE
723,3700555673,BD
724,3700556102,RSCH
725,3700556102,ANLS
726,3700556102,IT
727,3700556134,RSCH
728,3700556134,ANLS
729,3700556134,IT
730,3700556185,SALE
731,3700556195,SALE
732,3700557016,SALE
733,3700557016,BD
734,3700557041,SALE
735,3700557041,BD
736,3700557071,SALE
737,3700558029,ENG
738,3700558029,IT
739,3700559014,OTHR
740,3700560001,HCPR
741,85008768,SALE
742,85008768,BD
743,133196985,ACCT
744,133196985,FIN
745,903408693,ADM
746,967848246,EDU
747,967848246,TRNG
748,1004740969,ENG
749,1004740969,IT
750,1029078768,HCPR
751,1418582485,SALE
752,1418582485,MGMT
753,1483357774,MRKT
754,1483357774,PR
755,1483357774,WRT
756,1535492735,ADM
757,2282679989,EDU
758,2282679989,TRNG
759,2634247615,BD
760,2634247615,SALE
761,2730408164,OTHR
762,2764358929,DSGN
763,2764358929,ART
764,2764358929,IT
765,3047547711,LGL
766,3108036575,MGMT
767,3108036575,MNFC
768,3243289926,OTHR
769,3268185281,IT
770,3313349770,MRKT
771,3313349770,SALE
772,3326588170,ACCT
773,3326588170,FIN
774,3373346816,CUST
775,3373346816,SALE
