,job_id,industry_id
461,3700549399,52
462,3700549411,52
463,3700549414,1324
464,3700549415,52
465,3700549419,52
466,3700549581,100
467,3700549583,100
468,3700549640,48
469,3700549696,96
470,3700549721,20
471,3700550019,43
472,3700550084,14
473,3700550106,104
474,3700550107,104
475,3700550116,104
476,3700550295,44
477,3700550306,43
478,3700550324,52
479,3700550327,43
480,3700550329,52
481,3700550924,43
482,3700550930,133
483,3700551067,104
484,3700551068,104
485,3700551078,104
486,3700551092,104
487,3700551241,112
488,3700551314,121
489,3700551319,43
490,3700551320,43
491,3700551805,53
492,3700551805,135
493,3700551805,92
494,3700551840,51
495,3700551891,43
496,3700551940,43
497,3700551946,51
498,3700552042,104
499,3700552043,104
500,3700552073,43
501,3700552264,43
502,3700552276,52
503,3700552592,20
504,3700552599,96
505,3700552599,5
506,3700552599,4
507,3700552890,43
508,3700552990,109
509,3700553126,100
510,3700553136,52
511,3700553153,96
512,3700553155,52
513,3700553388,48
514,3700553462,14
515,3700553769,51
516,3700553790,51
517,3700553806,126
518,3700553847,3
519,3700553847,4
520,3700553847,5
521,3700553874,3
522,3700553874,4
523,3700553874,5
524,3700553886,139
525,3700553886,14
526,3700553886,124
527,3700554332,42
528,3700554333,42
529,3700554546,51
530,3700554569,51
531,3700554570,51
532,3700554594,43
533,3700554617,3
534,3700554617,4
535,3700554617,5
536,3700554640,3
537,3700554640,4
538,3700554640,5
539,3700555134,48
540,3700555149,139
541,3700555206,14
542,3700555490,43
543,3700555493,43
544,3700555525,51
545,3700555600,3
546,3700555600,4
547,3700555600,5
548,3700555649,4
549,3700555673,104
550,3700555673,11
551,3700555673,43
552,3700556102,51
553,3700556134,51
554,3700556185,3
555,3700556185,4
556,3700556185,5
557,3700556195,3
558,3700556195,4
559,3700556195,5
560,3700557016,43
561,3700557041,43
562,3700557071,3
563,3700557071,4
564,3700557071,5
565,3700558029,3
566,3700558029,4
567,3700558029,5
568,3700559014,139
569,3700559014,14
570,3700559014,124
571,3700560001,14
572,3700560001,139
573,85008768,42
574,133196985,104
575,903408693,27
576,903408693,34
577,967848246,4
578,1004740969,51
579,1029078768,104
580,1418582485,128
581,1483357774,35
582,1535492735,48
583,1535492735,92
584,2282679989,126
585,2448418468,68
586,2481100553,83
587,2634247615,104
588,2730408164,139
589,2764358929,60
590,2885838641,124
591,3047547711,9
592,3108036575,48
593,3192471360,9
594,3243289926,100
595,3243289926,131
596,3243289926,90
597,3268185281,48
598,3268185281,122
599,3313349770,100
600,3326588170,17
601,3373346816,27
602,3373346816,143
603,3395626440,14
604,3396803783,80
605,3422104915,124
606,3442372601,41
607,3487275706,31
608,3497543368,75
609,3529464114,52
610,3532827942,92
611,3538940637,121
612,3562282884,90
613,3564601168,19
614,3568598527,135
615,3580193834,26
616,3584068782,10
617,3586162459,96
618,3587706348,44
619,3587919328,90
620,3596450056,48
621,3596450056,44
622,3596450056,31
623,3601203087,44
624,3601423875,92
625,3603640939,27
626,3606156203,27
627,3618024320,28
628,3623811800,19
629,3627129770,18
630,3635154108,124
631,3637608593,48
632,3638837564,14
633,3643209562,70
634,3643371518,80
635,3644109811,32
636,3655655364,96
637,3666015999,100
638,3666945557,139
639,3668771880,34
640,3669525119,96
641,3669562617,96
642,3670740369,96
643,3673294109,96
644,3674000415,41
645,3675787336,96
646,3677721266,52
647,3677721266,94
648,3677721266,92
649,3678500518,124
650,3680164564,11
651,3680164564,129
652,3680164564,43
653,3680177756,18
654,3680807523,100
655,3681440546,34
656,3682818140,42
657,3682818140,14
658,3682818140,43
659,3684010877,124
660,3684441939,128
661,3684441939,44
662,3684441939,47
663,3684448047,42
664,3684455234,96
665,3684464103,96
666,3684955684,63
667,3685418185,92
668,3687065358,96
669,3687520079,31
670,3689394048,8
671,3689394048,6
672,3689701585,110
673,3692363916,10
674,3692363916,9
675,3692363916,11
676,3692363921,124
677,3692363921,80
678,3692363921,14
679,3692364583,91
680,3693028967,4
681,3693028975,69
682,3693031616,47
683,3693031616,43
684,3693031616,11
685,3693032353,104
686,3693033842,63
687,3693034684,96
688,3693034691,42
689,3693034850,48
690,3693035413,92
691,3693035505,88
692,3693035554,9
693,3693035612,88
694,3693036850,100
695,3693037054,104
696,3693037588,96
697,3693037942,67
698,3693038067,17
699,3693038433,96
700,3693038606,81
701,3693038731,9
702,3693038960,146
703,3693038962,146
704,3693038976,92
705,3693038998,112
706,3693038998,49
707,3693039588,68
708,3693039592,128
709,3693039908,43
710,3693039928,146
711,3693039968,104
712,3693040603,44
713,3693040696,14
714,3693040776,100
715,3693040865,51
716,3693040868,96
717,3693040873,146
718,3693040913,36
719,3693040943,96
720,3693040951,12
721,3693040996,14
722,3693040996,17
723,3693040996,15
724,3693040997,112
725,3693040997,147
726,3693040997,135
727,3693041274,96
728,3693041361,43
729,3693041555,126
730,3693041637,96
731,3693041720,146
732,3693041721,146
733,3693041722,146
734,3693041811,4
735,3693041818,96
736,3693041818,52
737,3693041818,99
